name,gender,country,disciplines
Lara GILLESPIE,Female,Ireland,['Cycling Track']
Kelly MURPHY,Female,Ireland,['Cycling Track']
Mia GRIFFIN,Female,Ireland,['Cycling Track']
Erin CREIGHTON,Female,Ireland,['Cycling Track']
Alice SHARPE,Female,Ireland,['Cycling Track']
Ben HEALY,Male,Ireland,['Cycling Road']
Leona MAGUIRE,Female,Ireland,['Golf']
Rhys MC CLENAGHAN,Male,Ireland,['Artistic Gymnastics']
Fiona MURTAGH,Female,Ireland,['Rowing']
Imogen MAGNER,Female,Ireland,['Rowing']
Natalie LONG,Female,Ireland,['Rowing']
Aoife CASEY,Female,Ireland,['Rowing']
Aifric KEOGH,Female,Ireland,['Rowing']
Alejandro TOSTI,Male,Argentina,['Golf']
Juan BAR,Male,Argentina,['Handball']
Nicolas BONANNO,Male,Argentina,['Handball']
Federico FERNANDEZ,Male,Argentina,['Handball']
Guillermo FISCHER,Male,Argentina,['Handball']
Leonel MACIEL,Male,Argentina,['Handball']
Adriana PENRUDDOCKE,Female,Bermuda,['Sailing']
Pedro MARTINEZ CAMI,Male,Argentina,['Handball']
Charlotte WEBSTER,Female,Cayman Islands,['Sailing']
Lucas MOSCARIELLO,Male,Argentina,['Handball']
Andres MOYANO,Male,Argentina,['Handball']
Gaston MOURINO,Male,Argentina,['Handball']
James PARKER,Male,Argentina,['Handball']
Federico PIZARRO,Male,Argentina,['Handball']
Jillian Janis Geohagan CROOKS,Female,Cayman Islands,['Swimming']
Emma HARVEY,Female,Bermuda,['Swimming']
Erica HAWLEY,Female,Bermuda,['Triathlon']
Tyler SMITH,Male,Bermuda,['Triathlon']
Alin ALEXUC CIURARIU,Male,Romania,['Wrestling']
Razvan ARNAUT,Male,Romania,['Wrestling']
Andreea Beatrice ANA,Female,Romania,['Wrestling']
Catalina AXENTE,Female,Romania,['Wrestling']
Kriszta Tunde INCZE,Female,Romania,['Wrestling']
Akhmed TAZHUDINOV,Male,Bahrain,['Wrestling']
Kaimauri ERATI,Male,Kiribati,['Weightlifting']
Gor MINASYAN,Male,Bahrain,['Weightlifting']
Lesman MONTANO,Male,Bahrain,['Weightlifting']
Jugurtha AIT BEKKA,Male,Algeria,['Boxing']
Mourad KADI,Male,Algeria,['Boxing']
